click,price,score,judge,rec_most,rec_more,rec_normal,rec_bad,rec_morebad,readed,reading,readup
1,22.0,8.8,860,443,348,62,6,1,1158,72,430
1,45.0,7.6,13460,3112,6778,3274,256,40,14688,252,4554
1,328.0,9.2,3873,2569,1003,255,31,15,4751,3185,33471
1,39.5,8.5,2079,897,909,237,24,12,2162,528,9501
1,29.5,7.6,15946,3138,7472,4891,382,63,19344,605,11043
1,89.9,8.5,2727,1393,1076,243,13,2,2739,337,6614
1,37.0,8.9,8799,4796,3177,748,61,17,9642,1593,3055
1,32.0,8.0,25894,8338,12042,4868,543,103,32450,2328,9274
1,38.0,8.0,2973,1165,1233,487,65,23,2968,690,13218
1,29.8,8.5,31806,13327,14377,3626,381,95,39793,5812,79624
0,49.0,7.4,529,114,215,165,21,14,518,263,5022
0,78.0,9.4,232,164,55,13,0,0,240,122,3431
1,36.8,9.0,1114,655,366,85,4,4,1235,199,2476
0,29.0,7.7,2096,488,969,560,65,14,2310,126,1468
1,36.0,8.8,5848,3387,1854,544,46,17,6360,1013,10496
1,45.0,9.1,89,45,38,6,0,0,103,21,485
0,45.0,9.1,15557,10704,4014,746,62,31,19238,1573,15134
1,498.0,9.7,5865,4934,850,76,5,0,8219,138,1910
0,35.0,8.7,7659,3677,3202,735,38,7,8518,468,12088
0,22.0,8.7,6938,3314,2766,762,83,13,8469,1853,17801
0,16.0,7.5,7926,1546,3575,2537,229,39,9448,912,11185
0,88.0,8.9,150,73,58,19,0,0,168,94,2792
1,35.0,8.3,6769,2514,3016,1138,81,20,11029,626,6405
0,28.0,8.7,7586,3779,3149,614,37,7,8313,583,10508
0,110.0,9.4,137,103,29,5,0,0,130,84,1968
0,99.8,8.7,3216,1633,1218,308,35,22,3689,180,11303
0,68.0,8.7,1609,711,733,153,9,3,1725,251,9881
0,46.0,9.1,756,444,224,67,15,6,839,84,1843
1,28.0,7.8,5321,979,2954,1320,63,5,5939,129,1125
0,26.0,8.8,2370,1276,882,201,9,2,2606,106,1490
0,24.5,7.8,47881,11551,21473,13516,1198,143,66015,7171,35642
1,49.5,8.9,6183,3433,2152,531,49,18,6551,777,8448
0,1.6,9.3,2207,1568,525,106,6,2,2709,283,1738
0,27.0,8.5,27799,11248,12192,3915,361,83,33367,2455,9642
1,29.8,8.7,1342,685,524,122,10,1,1591,377,3845
1,68.0,9.3,4125,3038,878,185,16,8,4405,995,9972
1,49.0,8.6,1699,801,712,163,17,6,1667,489,3326
0,3.8,9.1,2265,1435,661,156,11,2,2836,311,5793
0,29.8,8.8,19377,10154,7325,1666,155,77,19855,1773,15795
0,19.8,7.8,3038,853,1269,786,97,33,4432,678,7559
1,23.0,8.9,13461,7889,4362,1050,107,53,16095,1510,18050
1,56.0,8.5,1889,803,765,274,34,13,2039,689,14675
0,36.0,8.6,19696,9809,7583,2068,177,59,21319,2573,49053
1,35.0,8.7,1444,728,548,156,8,4,1617,174,480
1,26.0,8.6,5954,2829,2299,738,71,17,7056,639,10489
1,28.0,9.2,13724,9594,3280,727,82,41,14770,3701,40340
0,29.8,8.2,34965,11819,16050,6678,349,69,45649,820,12253
1,7.0,8.6,32875,14992,14071,3616,164,32,49927,614,15079
1,45.0,8.8,28317,14499,10761,2690,283,84,30742,10420,79200
0,24.0,7.6,7078,1237,3515,2143,155,28,8540,502,10367
1,26.0,8.7,1981,1041,696,222,17,5,2405,639,9590
1,26.5,9.0,129445,82328,37022,9190,517,388,179004,1205,14383
1,39.0,8.1,22819,7645,10771,3879,433,91,30124,2668,31678
0,18.0,8.7,17598,8527,6769,2057,193,52,21712,3048,29607
1,88.0,9.4,22,14,8,0,0,0,26,12,943
1,26.0,8.3,2727,894,1415,387,21,10,3242,536,9739
1,22.0,9.1,12759,7912,4134,663,38,12,14538,574,3708
1,20.0,9.1,2202,1418,655,121,6,2,2702,341,5919
1,15.0,8.6,4558,2095,1918,505,31,9,10952,111,1925
1,20.0,8.8,2283,1223,813,214,27,6,2668,315,8083
0,128.0,8.7,1334,620,540,148,17,9,1176,742,33678
1,29.8,8.8,3424,1751,1336,311,20,6,4883,300,1060
0,180.0,8.3,2763,1003,1360,387,11,2,4203,151,4903
0,49.0,9.5,862,677,163,20,2,0,857,244,2102
1,132.0,8.8,18405,10723,5988,1455,184,55,18023,1991,33741
1,48.0,9.2,17093,11892,4483,667,34,17,41047,9802,126048
1,68.0,8.2,275,93,130,43,6,3,283,101,3670
